Date,Total,Index,Equity
2025-07-25,0.91,1.16,0.72
2025-07-28,0.85,1.13,0.58
2025-07-29,0.94,1.26,0.57
2025-07-30,0.9,1.14,0.59
2025-07-31,1.03,1.08,0.84
2025-08-01,0.94,1.0,0.75
2025-08-04,0.9,1.06,0.61
2025-08-05,0.87,1.24,0.58
2025-08-06,0.86,1.04,0.62
2025-08-07,0.79,0.97,0.57
2025-08-08,0.86,1.03,0.64
2025-08-11,0.83,0.98,0.64
2025-08-12,0.95,1.04,0.6
2025-08-13,0.77,0.91,0.63
2025-08-14,0.85,1.03,0.75
2025-08-15,0.79,1.05,0.48
2025-08-18,0.79,1.04,0.5
2025-08-19,0.91,1.19,0.59
2025-08-20,0.88,0.98,0.66
2025-08-21,0.92,1.13,0.62
2025-08-22,0.88,0.99,0.5
2025-08-25,0.86,1.16,0.55
2025-08-26,0.89,1.2,0.55
2025-08-27,0.75,0.85,0.53
2025-08-28,0.89,1.05,0.75
2025-08-29,0.83,0.92,0.56
2025-09-02,0.93,1.04,0.68
2025-09-03,0.87,1.03,0.61
2025-09-04,0.96,1.23,0.62
2025-09-05,0.75,0.8,0.58
2025-09-08,0.8,1.01,0.63
2025-09-09,0.87,1.12,0.54
2025-09-10,0.82,0.99,0.54
2025-09-11,0.86,1.02,0.68
2025-09-12,0.83,1.13,0.58
2025-09-15,0.89,1.27,0.54
2025-09-16,0.78,0.93,0.54
2025-09-17,1.06,1.11,0.6
2025-09-18,0.75,1.05,0.54
2025-09-19,0.77,1.2,0.45
2025-09-22,0.81,1.02,0.48
2025-09-23,0.9,1.21,0.47
2025-09-24,0.86,1.16,0.51
2025-09-25,0.9,1.19,0.56
2025-09-26,0.82,1.12,0.51
2025-09-29,0.78,0.92,0.52
2025-09-30,0.89,1.14,0.58
2025-10-01,0.77,1.04,0.48
2025-10-02,0.81,1.11,0.47
2025-10-03,0.84,1.1,0.6
2025-10-06,0.73,1.03,0.45
2025-10-07,0.91,1.1,0.5
2025-10-08,0.76,1.0,0.5
2025-10-09,0.8,1.05,0.54
2025-10-10,0.98,1.19,0.69
2025-10-13,0.81,0.98,0.55
2025-10-14,0.87,1.14,0.49
2025-10-15,0.78,1.0,0.48
2025-10-16,0.86,1.18,0.56
2025-10-17,0.93,1.07,0.72
2025-10-20,0.86,1.14,0.5
2025-10-21,0.88,1.24,0.48
2025-10-22,0.83,1.07,0.53
2025-10-23,0.85,1.12,0.6
2025-10-24,0.86,1.07,0.52
2025-10-28,0.74,0.92,0.47
2025-10-29,0.78,1.05,0.44
2025-10-31,0.86,1.02,0.55
2025-11-03,0.93,1.09,0.58
2025-11-04,0.85,0.99,0.66
2025-11-05,0.85,1.05,0.57
2025-11-06,0.88,1.14,0.56
2025-11-10,0.83,1.08,0.49
2025-11-11,0.85,0.94,0.7
2025-11-12,0.78,0.95,0.56
2025-11-13,0.83,1.0,0.65
2025-11-14,1.04,1.14,0.63
2025-11-17,0.97,1.04,0.76
2025-11-18,0.91,0.94,0.7
2025-11-19,0.98,1.12,0.63
2025-11-20,0.95,1.1,0.59
2025-11-24,0.91,1.13,0.58
2025-11-25,0.94,1.06,0.76
2025-11-26,0.88,0.92,0.69
2025-11-28,0.7,1.06,0.44
2025-12-01,0.95,1.13,0.59
2025-12-02,0.79,0.95,0.54
2025-12-03,0.91,1.18,0.58
2025-12-04,0.78,1.04,0.5
2025-12-08,0.91,0.99,0.65
2025-12-09,0.82,1.06,0.52
2025-12-10,0.91,1.02,0.59
2025-12-11,0.83,1.06,0.59
2025-12-15,0.92,1.1,0.58
2025-12-16,0.94,1.01,0.74
2025-12-17,0.99,1.09,0.75
2025-12-18,0.79,0.98,0.59
2025-12-19,0.85,1.05,0.59
2025-12-22,0.89,1.03,0.61
2025-12-23,0.8,1.01,0.46
2025-12-24,0.91,0.96,0.57
2025-12-26,0.85,1.08,0.64
2025-12-29,0.93,0.96,0.67
2025-12-30,0.83,1.08,0.51
2025-12-31,1.13,1.12,0.92
2026-01-02,0.83,1.08,0.56
2026-01-05,0.89,1.1,0.54
2026-01-06,0.9,1.02,0.58
2026-01-07,0.96,1.02,0.63
2026-01-08,0.83,1.04,0.49
2026-01-09,0.75,1.0,0.47
2026-01-12,0.97,1.19,0.66
2026-01-13,0.88,1.0,0.7
2026-01-14,0.93,0.92,0.77
2026-01-15,0.83,1.07,0.52
2026-01-16,0.73,1.02,0.46
2026-01-20,0.9,0.95,0.52
